reservoirs,Pc,nc,njam,u,njam_theoretical,net_length
1,16092.0013722217,1799.07418499982,3886.13803781777,17.8892026870179,39966,235094.851370462
2,8541.34281455662,1538.5124504123,4090.81863523374,11.1033782174043,30711,180658.1860327
3,12327.9506609401,1727.08232999228,5116.14658129179,14.2760428346171,45955,270327.017596734
4,18148.6791772802,2738.5770167368,5777.23569337086,13.2540944193752,59779,351643.447349565
5,12054.5326118038,1327.54079236313,2953.76136936969,18.1606963509509,47763,280960.116552295
6,7623.5991551651,1615.93113122648,4720.99120846813,9.43554958233753,30212,177718.912138444
7,15508.1185270165,3153.32465962786,7271.48049828577,9.83604303455814,27869,163940.360746091
8,11409.3616179533,3366.02639835477,6741.91476877465,6.7791278306848,31579,185762.334030052
9,12519.2332680645,4866.63903787328,11695.6233579455,5.14491959261288,31840,187299.860570501
10,10695.5002725473,2022.4000901495,4735.57570413176,10.5770369815961,18391,108185.293906521
